customer_id,age,gender,education,income,purchase_amount,purchase_date,product_category,rating,discount_percent,shipping_cost,total_cost,discount_amount,final_price,price_per_rating,income_purchase_ratio,age_squared,spending_power_index,education_encoded,gender_Female,gender_Male,gender_Other,product_category_Books,product_category_Clothing,product_category_Electronics,product_category_Food,product_category_Home,age_group,income_bracket,purchase_category,rating_category,discount_tier,price_quartile,spending_ratio_bin,purchase_date_year,purchase_date_month,purchase_date_month_name,purchase_date_day,purchase_date_day_of_week,purchase_date_day_name,purchase_date_quarter,purchase_date_week_of_year,purchase_date_is_weekend,purchase_date_is_month_start,purchase_date_is_month_end,purchase_date_days_since_epoch,purchase_date_season,purchase_date_days_from_today,purchase_date_is_recent
1,39,Other,High School,141958,1554.54,2025-11-16,Electronics,1.4,30.2,9.76,1564.3,469.47,1094.83,782.02,1.1,1521,3.64,0,0,0,1,0,0,1,0,0,36-50,High,High,Poor,Medium Discount,Q2,"(0.00901, 4.228]",2025,11,November,16,6,Sunday,4,46,1,0,0,20408,Fall,93,0
2,61,Other,PhD,35795,4070.84,2025-10-14,Food,3.9,2.48,44.63,4115.47,100.96,4014.51,1029.36,11.37,3721,0.59,3,0,0,1,0,0,0,1,0,51-65,Lower-Middle,Very High,Good,No Discount,Q4,"(8.426, 12.624]",2025,10,October,14,1,Tuesday,4,42,0,0,0,20375,Fall,126,0
3,19,Female,Bachelor,20860,3426.81,2026-01-24,Books,2.1,4.73,22.93,3449.74,162.09,3287.65,1565.55,16.43,361,1.1,1,1,0,0,1,0,0,0,0,18-25,Low,Very High,Fair,No Discount,Q4,"(12.624, 16.822]",2026,1,January,24,5,Saturday,1,4,1,0,0,20477,Winter,24,1
4,41,Female,PhD,123694,821.46,2025-03-21,Electronics,4.0,1.64,33.85,855.31,13.47,841.84,210.46,0.66,1681,3.02,3,1,0,0,0,0,1,0,0,36-50,High,Medium,Good,No Discount,Q1,"(0.00901, 4.228]",2025,3,March,21,4,Friday,1,12,0,0,0,20168,Spring,333,0
5,51,Male,Bachelor,148106,4555.53,2025-02-28,Food,3.9,24.96,24.86,4580.39,1137.06,3443.33,882.91,3.08,2601,2.9,1,0,1,0,0,0,0,1,0,51-65,High,Very High,Good,Low Discount,Q4,"(0.00901, 4.228]",2025,2,February,28,4,Friday,1,9,0,0,1,20147,Winter,354,0
6,44,Other,High School,139879,4114.46,2025-10-25,Food,1.0,30.03,4.7,4119.16,1235.57,2883.59,2883.59,2.94,1936,3.18,0,0,0,1,0,0,0,1,0,36-50,High,Very High,Poor,Medium Discount,Q3,"(0.00901, 4.228]",2025,10,October,25,5,Saturday,4,43,1,0,0,20386,Fall,115,0
7,72,Male,Bachelor,130268,4749.5,2026-01-01,Clothing,3.0,3.12,14.54,4764.04,148.18,4615.86,1538.62,3.65,5184,1.81,1,0,1,0,0,1,0,0,0,65+,High,Very High,Fair,No Discount,Q4,"(0.00901, 4.228]",2026,1,January,1,3,Thursday,1,1,0,1,0,20454,Winter,47,0
8,58,Male,PhD,96820,3631.34,2025-07-07,Home,1.6,36.06,49.19,3680.53,1309.46,2371.07,1481.92,3.75,3364,1.67,3,0,1,0,0,0,0,0,1,51-65,Upper-Middle,Very High,Poor,Medium Discount,Q3,"(0.00901, 4.228]",2025,7,July,7,0,Monday,3,28,0,0,0,20276,Summer,225,0
9,18,Female,Bachelor,74886,3070.94,2025-05-28,Electronics,4.5,11.52,48.04,3118.98,353.77,2765.21,614.49,4.1,324,4.16,1,1,0,0,0,0,1,0,0,18-25,Middle,Very High,Excellent,Low Discount,Q3,"(0.00901, 4.228]",2025,5,May,28,2,Wednesday,2,22,0,0,0,20236,Spring,265,0
10,25,Other,High School,26265,2097.03,2025-11-11,Clothing,4.5,34.26,16.02,2113.05,718.44,1394.61,309.91,7.98,625,1.05,0,0,0,1,0,1,0,0,0,18-25,Low,Very High,Excellent,Medium Discount,Q2,"(4.228, 8.426]",2025,11,November,11,1,Tuesday,4,46,0,0,0,20403,Fall,98,0
11,40,Other,Bachelor,102386,4664.32,2026-02-07,Books,2.7,49.09,49.81,4714.13,2289.71,2424.42,897.93,4.56,1600,2.56,1,0,0,1,1,0,0,0,0,36-50,High,Very High,Fair,High Discount,Q3,"(4.228, 8.426]",2026,2,February,7,5,Saturday,1,6,1,0,0,20491,Winter,10,1
12,55,Other,Master,148214,4331.66,2025-11-25,Home,2.8,34.56,42.28,4373.94,1497.02,2876.92,1027.47,2.92,3025,2.69,2,0,0,1,0,0,0,0,1,51-65,High,Very High,Fair,Medium Discount,Q3,"(0.00901, 4.228]",2025,11,November,25,1,Tuesday,4,48,0,0,0,20417,Fall,84,0
13,23,Female,PhD,57194,235.64,2025-07-19,Electronics,2.2,44.16,30.55,266.19,104.06,162.13,73.7,0.41,529,2.49,3,1,0,0,0,0,1,0,0,18-25,Middle,Low,Fair,High Discount,Q1,"(0.00901, 4.228]",2025,7,July,19,5,Saturday,3,29,1,0,0,20288,Summer,213,0
